acc_pFgA_z_FDR_0_roi.mat,amygdala_pFgA_z_FDR_0_roi.mat,anterior insula_pFgA_z_FDR_0_roi.mat,anterior prefrontal_pFgA_z_FDR_0_roi.mat,caudate_pFgA_z_FDR_0_roi.mat,dacc_pFgA_z_FDR_0_roi.mat,dlpfc_pFgA_z_FDR_0_roi.mat,dmpfc_pFgA_z_FDR_0_roi.mat,medial orbitofrontal_pFgA_z_FDR_0_roi.mat,mpfc_pFgA_z_FDR_0_roi.mat,nucleus accumbens_pFgA_z_FDR_0_roi.mat,orbitofrontal cortex_pFgA_z_FDR_0_roi.mat,precuneus_pFgA_z_FDR_0_roi.mat,psts_pFgA_z_FDR_0_roi.mat,putamen_pFgA_z_FDR_0_roi.mat,striatum_pFgA_z_FDR_0_roi.mat,subgenual_pFgA_z_FDR_0_roi.mat,temporoparietal junction_pFgA_z_FDR_0_roi.mat,ventral striatum_pFgA_z_FDR_0_roi.mat,vlpfc_pFgA_z_FDR_0_roi.mat,vmpfc_pFgA_z_FDR_0_roi.mat
0.1458585,-0.2542391,0.02944104,-0.2506739,-0.1016477,0.1174532,-0.1228753,-0.27646,-0.2233456,-0.1859515,-0.1948333,-0.4136882,-0.2235268,0.08114273,-0.02064513,0.1674527,-0.1913229,-0.1946524,0.1419689,0.1901149,-0.2652916
0.5594969,0.1550601,-0.1193128,-0.3666161,-0.01714321,0.4171695,0.09894999,-0.5546278,-0.03025495,-0.1456,-0.48334,-0.2384675,-0.3762319,0.1683425,-0.2192904,0.4533729,-0.1407351,-0.2006746,0.4323977,0.1829702,-0.191987
0.2997496,-0.2778684,0.06111997,-0.108263,0.005997996,0.3478279,0.1338981,0.06601038,0.05683267,0.05429319,-0.1159386,0.04986298,-0.3039773,0.3642106,0.1378024,0.284126,-0.1731956,0.009641236,0.2560139,-0.05854929,-0.1291076
0.6124933,0.1721529,0.2984912,0.1345324,0.6305086,0.8808559,0.279093,2.388753,0.4791802,0.1206298,0.6661044,0.4245641,0.5675661,0.506903,0.6377089,0.2727509,0.2845241,0.8178123,0.3620263,0.6678384,0.2160194
0.4601961,0.0773742,-0.08974946,-0.4698405,0.1005327,0.4199567,0.1316155,-0.4778695,-0.6128145,0.03932324,-0.2544913,0.000472694,-0.2406017,0.4451925,-0.1499096,0.6836987,0.03844789,0.000463083,0.6747468,0.3285824,-0.2963622
0.6086886,0.3004427,0.2622949,-0.3004889,0.7747686,-0.1388182,1.919723,-1.034403,0.4763182,0.3240235,0.7798514,0.7839489,-0.05337033,0.4274739,0.06073971,0.8873442,0.2076882,1.608391,0.749416,0.6498416,0.3495301
0.09088054,-0.02813815,-0.03393304,-0.08307236,-0.003224522,0.1705442,0.1146082,0.05303755,-0.05718765,0.03089675,0.07088463,-0.09862351,-0.2156689,0.02657997,0.06591258,0.3089569,-0.03638639,-0.1274214,0.2807757,0.1153625,-0.04833968
0.3199407,-0.03722213,-0.09938574,-0.1100602,-0.04038938,0.05106583,-0.3959755,0.06840323,-0.06038051,-0.3512408,-0.1600352,0.1510781,-0.3229212,0.1096857,-0.0374249,0.1959652,0.05992928,0.0255545,0.2066914,0.1966201,-0.2530124
0.1079068,0.3345179,0.3306674,0.3082653,0.4897349,-0.107216,-0.2314406,0.4200233,0.1737314,-0.08429995,0.121092,0.03895608,0.006511942,-0.1152415,-0.04839677,-0.5918923,-0.1843814,-0.5371608,-0.453391,-0.7250436,-0.0935421
-0.08509282,0.09695402,-0.1281873,-0.2769657,-0.1213794,-0.3146551,0.03881917,-0.1726499,-0.05631754,-0.01190428,-0.02481394,-0.2017301,-0.5287557,-0.05538313,-0.02955635,0.1388015,-0.2129697,-0.1676153,0.233909,0.002832166,0.1241486
1.032709,0.0892899,0.3164255,-0.1029532,0.1160702,0.6872666,0.4792465,0.262843,0.198977,0.2421542,-0.4416036,0.1873958,-0.399375,0.4672448,0.1052262,1.565835,0.03556822,0.5293178,1.429936,0.9056584,-0.4402195
0.1421684,0.01794141,0.1805288,-0.7900698,0.09963621,0.1309694,-0.0705894,-0.2309261,-0.4037853,-0.8026173,-0.2420885,-0.4832333,-0.7513321,0.2189956,-0.2220175,0.1685295,-0.7044059,-0.1795357,0.1112467,0.3208257,-0.4563741
0.3113082,0.1534428,-0.08030582,-0.05472823,0.007174244,0.2390633,0.2459206,-0.02959726,0.07203219,-0.07887898,-0.06644144,0.008352977,0.01047926,0.05582679,-0.01207339,0.1931287,0.1915006,0.009682598,0.2078028,0.1659189,0.08659715
0.7175021,0.09139942,0.3704567,0.1528917,0.358365,1.219245,0.7805494,0.1022076,1.322085,0.615047,-0.1243277,0.5772899,-0.03479964,1.176273,0.7902685,1.36986,0.1933278,0.3777316,1.358632,1.217515,-0.05999307
0.09385489,-0.04740808,-0.1737826,-0.6482889,-0.04267152,0.1254073,-0.02169352,-0.138277,-0.2900016,-0.02172406,-0.3929081,-0.399193,0.7258623,-0.04018179,-0.1037193,0.1377212,0.1430324,-0.0990688,0.1124082,0.05088654,-0.05258922
0.4516985,-0.148573,0.007235496,-0.3862769,0.1183465,0.4195775,0.1506299,-0.05678934,-0.1666344,0.1417545,-0.1573176,0.09803168,-0.2317065,0.1625547,0.2854541,0.4765955,0.01258036,-0.2231297,0.5289102,0.2321603,-0.1179821
0.2001427,0.07688068,-0.2379208,-0.05751406,0.1559546,0.2567408,-0.1712327,-0.199481,-0.135363,-0.0758933,-0.2025946,0.1192516,-0.1593,0.1152426,0.02341689,-0.1105286,0.07430908,-0.1115679,-0.08150249,0.1890883,-0.2270411
0.13665,-0.2126283,-0.6689717,0.0120914,-0.005564705,-0.1146305,-0.005381265,0.02187944,0.8576043,-0.3064451,-0.3108939,-0.4434684,0.1763278,-0.05344128,0.2760446,0.7301209,0.001720086,-0.2218583,0.6313586,0.08680026,-0.5025573
0.1365455,0.0529105,-0.09096594,-0.1226158,-0.06295762,-0.08439095,0.03312532,0.08382962,-0.1774017,-0.09979536,-0.3032738,-0.10172,0.07284378,-0.001591469,-0.02092225,0.2981912,-0.2243071,-0.114842,0.2191889,-0.02852428,0.07130415
0.3901015,0.1130715,-0.09131554,-0.07848143,0.05412063,0.4849726,0.064422,0.230643,-0.03462939,0.0660087,0.01655073,-0.248074,-0.3900409,0.1717044,0.05437236,0.007809508,0.1063508,-0.2726226,-0.05398891,0.2095962,0.06810898
0.06475315,0.1123726,0.1092497,-0.1356691,-0.06558988,0.1540457,0.1139339,0.02800756,-0.1984594,0.04814428,0.07577847,-0.1397408,-0.05362723,0.1370581,0.07583921,0.1386789,0.003066433,-0.1631912,0.1365468,-0.01699992,0.04981013
0.07874658,-0.06247475,-0.1256625,-0.04814665,-0.1183152,0.05245264,0.2579947,-0.05918425,-0.2235247,-0.03505106,-0.00485824,-0.06707781,0.07292429,0.1659777,-0.05120718,0.3549504,-0.1165836,-0.1232374,0.3103552,0.1311225,0.0364713
0.2183821,-0.06643772,0.07208706,-0.2124447,0.06957285,0.5143242,0.1861836,-0.6046706,-0.08372533,0.1678414,-0.4097802,0.2803506,-0.006683567,0.2399922,0.2669352,0.473887,1.56325E-05,0.4969302,0.588388,0.3205634,-0.1868036
0.08037127,-0.06739511,-0.158736,0.05565894,0.03739372,0.02232919,-0.212311,-0.09703272,0.1161186,0.04090428,0.2089935,0.004197235,0.1008729,0.04983775,0.1176386,-0.1293098,0.1124614,0.02416513,-0.1298971,-0.005250078,-0.0429762
0.4008913,-0.02398637,0.2720715,-0.05792178,0.0123214,0.4224071,0.3275392,-0.4545673,-0.03387221,0.3886778,-0.5022853,0.6935389,-0.7762503,0.6102274,0.429253,0.5199905,-0.237499,0.32273,0.5072759,0.4379652,-0.6686577
0.1630731,0.02073342,-0.06216218,-0.8501318,0.003484883,0.01603535,0.1518717,0.3302503,0.09277507,0.2137538,-0.1389801,0.01571309,-0.2898333,-0.0346949,-0.002540813,0.377099,-0.005839571,0.07077788,0.2889616,-0.02067829,-0.01923238
0.01497679,-0.08365204,-0.02520932,-0.244043,-0.09563065,0.05919687,-0.06550306,-0.203268,-0.1190053,-0.2611954,-0.1898858,-0.1031317,-0.4046736,-0.009275375,-0.05142505,0.08014246,-0.1854065,-0.2698181,0.07075896,-0.0546024,-0.2192715
0.2082053,-0.2808664,0.02175744,-0.01729118,0.1207759,-0.06445057,-0.1661768,0.8144494,0.1715824,-0.2332242,-0.08184862,-0.3276928,-0.5260416,-0.02123278,0.06432801,-0.009357128,-0.08646893,-0.2711062,-0.002870333,0.0227843,-0.003453785
0.1551616,-0.07634986,-0.07421772,-0.2069905,-0.09902271,-0.0444199,-0.01588886,-0.1557734,-0.1036699,-0.1093543,-0.252215,-0.06465999,-0.1747238,0.02876673,-0.04052817,0.04198411,-0.2284095,-0.1850795,0.07560176,0.1591909,-0.3020866
0.6304045,0.2960578,0.592504,-0.1413419,-0.1171648,0.6126056,0.2957974,-0.2831238,0.04660981,0.1548723,-0.2139224,-0.2505664,-0.1561009,0.6391593,0.4588498,0.6555349,-0.005024459,-0.09170573,0.6704111,0.5308832,-0.1812687
0.2877894,0.02005095,0.0472405,-0.05706225,0.08366855,0.1910862,0.0477678,0.3954889,0.02228904,-0.06054886,0.1875339,0.02422606,0.0638367,0.0938376,-0.01480105,0.2112411,0.1746758,0.3926293,0.2418052,0.1895499,-0.02381979
0.001382708,-0.4210358,-0.1473025,0.7575315,0.7668558,-0.1450302,0.03197882,0.7831757,1.022449,0.5467519,0.3285529,0.6132698,0.6773363,0.2594151,0.7183565,0.3576127,0.3174438,0.1659428,0.448717,0.3139554,0.5279918
-0.07012534,-0.0720054,-0.1284478,-0.1045093,0.009851259,-0.2103847,-0.3092853,-0.03031564,-0.07342055,-0.1708309,-0.10456,-0.01332315,-0.1572749,-0.0804064,-0.1111627,-0.2782768,-0.06472913,-0.1454564,-0.2237584,-0.05094657,-0.5198012
0.260648,-0.0946015,-0.03771969,-0.05147691,-0.02312728,0.04365187,-0.0172,0.3230376,-0.05931726,-0.1493341,-0.09628061,-0.0364134,-0.2188819,0.01831339,0.08660783,0.1196595,-0.00199651,0.08891044,0.1023551,0.2016342,-0.1267215
